kind,task_index,source,our_training_split,target_object,condition,policy,correct_or_successful,episodes,scope_complete
S,21,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo,train,,camera,best,3,4,True
S,21,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo,train,,camera,native,4,4,True
S,21,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo,train,,combined,best,4,4,True
S,21,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo,train,,combined,native,4,4,True
S,21,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo,train,,lighting,best,4,4,True
S,21,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo,train,,lighting,native,3,4,True
S,21,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo,train,,normal,best,4,4,True
S,21,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo,train,,normal,native,4,4,True
S,22,libero_object/pick_up_the_butter_and_place_it_in_the_basket_demo,train,,camera,best,4,4,True
S,22,libero_object/pick_up_the_butter_and_place_it_in_the_basket_demo,train,,camera,native,3,4,True
S,22,libero_object/pick_up_the_butter_and_place_it_in_the_basket_demo,train,,combined,best,4,4,True
S,22,libero_object/pick_up_the_butter_and_place_it_in_the_basket_demo,train,,combined,native,2,4,True
S,22,libero_object/pick_up_the_butter_and_place_it_in_the_basket_demo,train,,lighting,best,4,4,True
S,22,libero_object/pick_up_the_butter_and_place_it_in_the_basket_demo,train,,lighting,native,4,4,True
S,22,libero_object/pick_up_the_butter_and_place_it_in_the_basket_demo,train,,normal,best,4,4,True
S,22,libero_object/pick_up_the_butter_and_place_it_in_the_basket_demo,train,,normal,native,4,4,True
S,23,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_demo,train,,camera,best,4,4,True
S,23,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_demo,train,,camera,native,4,4,True
S,23,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_demo,train,,combined,best,4,4,True
S,23,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_demo,train,,combined,native,4,4,True
S,23,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_demo,train,,lighting,best,4,4,True
S,23,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_demo,train,,lighting,native,4,4,True
S,23,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_demo,train,,normal,best,4,4,True
S,23,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket_demo,train,,normal,native,4,4,True
S,24,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo,validation,,camera,best,4,4,True
