kind,case_id,layout,task_index,our_training_split,target_object,condition,policy,correct_or_successful,control_steps,wall_seconds,axis_displacement_m,target_index,manual_seed
S,Sx_00_26_normal,Sx_00_26,0,train,,normal,native,True,250,30.485241384245455,,,3243
S,Sx_00_26_normal,Sx_00_26,0,train,,normal,best,True,270,42.38006611447781,,,3243
S,Sx_00_26_camera,Sx_00_26,0,train,,camera,native,True,235,29.126397126354277,,,3243
S,Sx_00_26_camera,Sx_00_26,0,train,,camera,best,True,290,45.11232142522931,,,3243
S,Sx_00_26_lighting,Sx_00_26,0,train,,lighting,native,True,270,32.48822825215757,,,3243
S,Sx_00_26_lighting,Sx_00_26,0,train,,lighting,best,True,260,40.71252913028002,,,3243
S,Sx_00_26_combined,Sx_00_26,0,train,,combined,native,True,240,29.50908660888672,,,3243
S,Sx_00_26_combined,Sx_00_26,0,train,,combined,best,True,290,45.42794597148895,,,3243
S,Sx_00_34_normal,Sx_00_34,0,train,,normal,native,True,260,31.733995931223035,,,3251
S,Sx_00_34_normal,Sx_00_34,0,train,,normal,best,True,260,40.78357182443142,,,3251
S,Sx_00_34_camera,Sx_00_34,0,train,,camera,native,False,500,56.49923620559275,,,3251
S,Sx_00_34_camera,Sx_00_34,0,train,,camera,best,False,500,75.22185652609915,,,3251
S,Sx_00_34_lighting,Sx_00_34,0,train,,lighting,native,True,265,32.04585603624582,,,3251
S,Sx_00_34_lighting,Sx_00_34,0,train,,lighting,best,True,260,40.74071198422462,,,3251
S,Sx_00_34_combined,Sx_00_34,0,train,,combined,native,False,500,57.01520324498415,,,3251
S,Sx_00_34_combined,Sx_00_34,0,train,,combined,best,False,500,74.45115860551596,,,3251
S,Sx_00_44_normal,Sx_00_44,0,train,,normal,native,True,245,30.469245741143823,,,3261
S,Sx_00_44_normal,Sx_00_44,0,train,,normal,best,True,250,39.666050320491195,,,3261
S,Sx_00_44_camera,Sx_00_44,0,train,,camera,native,False,500,56.95806475263089,,,3261
S,Sx_00_44_camera,Sx_00_44,0,train,,camera,best,True,260,40.86648170277476,,,3261
S,Sx_00_44_lighting,Sx_00_44,0,train,,lighting,native,True,250,30.50291944667697,,,3261
S,Sx_00_44_lighting,Sx_00_44,0,train,,lighting,best,True,250,39.47423809953034,,,3261
S,Sx_00_44_combined,Sx_00_44,0,train,,combined,native,False,500,56.62097227014601,,,3261
S,Sx_00_44_combined,Sx_00_44,0,train,,combined,best,True,250,39.42573926784098,,,3261
S,Sx_05_22_normal,Sx_05_22,5,validation,,normal,native,True,440,56.01176758296788,,,8239
S,Sx_05_22_normal,Sx_05_22,5,validation,,normal,best,True,295,50.940552967600524,,,8239
S,Sx_05_22_camera,Sx_05_22,5,validation,,camera,native,True,255,36.24447394348681,,,8239
S,Sx_05_22_camera,Sx_05_22,5,validation,,camera,best,True,310,52.99060978461057,,,8239
S,Sx_05_22_lighting,Sx_05_22,5,validation,,lighting,native,True,460,58.25415835995227,,,8239
S,Sx_05_22_lighting,Sx_05_22,5,validation,,lighting,best,True,295,50.88952094409615,,,8239
S,Sx_05_22_combined,Sx_05_22,5,validation,,combined,native,True,260,36.753108736127615,,,8239
S,Sx_05_22_combined,Sx_05_22,5,validation,,combined,best,True,335,56.256379132159054,,,8239
S,Sx_05_26_normal,Sx_05_26,5,validation,,normal,native,False,500,62.4894048711285,,,8243
S,Sx_05_26_normal,Sx_05_26,5,validation,,normal,best,True,305,51.589286763221025,,,8243
