policy,case_id,task_index,source,our_training_split,condition,episode,manual_seed,success,control_steps,max_steps,penalized_horizon_fraction,wall_seconds,peak_allocated_gib
best,S_08_30_camera,8,data/libero_raw/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,train,camera,demo_30,9247,True,155,300,0.5166666666666667,29.44094132166356,12.534889698028564
best,S_08_30_lighting,8,data/libero_raw/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,train,lighting,demo_30,9247,True,115,300,0.38333333333333336,23.805580304004252,12.534889698028564
best,S_08_30_combined,8,data/libero_raw/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,train,combined,demo_30,9247,False,300,300,1.0,50.808440334163606,12.534889698028564
best,S_08_40_normal,8,data/libero_raw/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,train,normal,demo_40,9257,True,140,300,0.4666666666666667,27.464376200921834,12.534889698028564
best,S_08_40_camera,8,data/libero_raw/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,train,camera,demo_40,9257,True,120,300,0.4,24.48028285522014,12.534889698028564
best,S_08_40_lighting,8,data/libero_raw/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,train,lighting,demo_40,9257,True,135,300,0.45,26.48631166573614,12.534889698028564
best,S_08_40_combined,8,data/libero_raw/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,train,combined,demo_40,9257,True,120,300,0.4,24.56275842245668,12.534889698028564
best,S_09_30_normal,9,data/libero_raw/libero_goal/put_the_wine_bottle_on_the_rack_demo.hdf5,train,normal,demo_30,10247,True,130,300,0.43333333333333335,25.69008979294449,12.534889698028564
best,S_09_30_camera,9,data/libero_raw/libero_goal/put_the_wine_bottle_on_the_rack_demo.hdf5,train,camera,demo_30,10247,True,130,300,0.43333333333333335,25.90162186231464,12.534889698028564
best,S_09_30_lighting,9,data/libero_raw/libero_goal/put_the_wine_bottle_on_the_rack_demo.hdf5,train,lighting,demo_30,10247,True,140,300,0.4666666666666667,27.45961928833276,12.534889698028564
best,S_09_30_combined,9,data/libero_raw/libero_goal/put_the_wine_bottle_on_the_rack_demo.hdf5,train,combined,demo_30,10247,True,145,300,0.48333333333333334,28.43498758971691,12.534889698028564
best,S_09_40_normal,9,data/libero_raw/libero_goal/put_the_wine_bottle_on_the_rack_demo.hdf5,train,normal,demo_40,10257,True,135,300,0.45,26.519576700404286,12.534889698028564
best,S_09_40_camera,9,data/libero_raw/libero_goal/put_the_wine_bottle_on_the_rack_demo.hdf5,train,camera,demo_40,10257,False,300,300,1.0,50.90265041962266,12.534889698028564
best,S_09_40_lighting,9,data/libero_raw/libero_goal/put_the_wine_bottle_on_the_rack_demo.hdf5,train,lighting,demo_40,10257,True,135,300,0.45,26.584030281752348,12.534889698028564
best,S_09_40_combined,9,data/libero_raw/libero_goal/put_the_wine_bottle_on_the_rack_demo.hdf5,train,combined,demo_40,10257,True,180,300,0.6,33.58765111211687,12.534889698028564
best,S_10_30_normal,10,data/libero_raw/libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,train,normal,demo_30,11247,True,130,300,0.43333333333333335,25.626915187574923,12.53490400314331
best,S_10_30_camera,10,data/libero_raw/libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,train,camera,demo_30,11247,True,130,300,0.43333333333333335,25.65963984467089,12.53490400314331
best,S_10_30_lighting,10,data/libero_raw/libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,train,lighting,demo_30,11247,True,140,300,0.4666666666666667,27.132046752609313,12.53490400314331
best,S_10_30_combined,10,data/libero_raw/libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,train,combined,demo_30,11247,True,140,300,0.4666666666666667,27.130895437672734,12.53490400314331
best,S_10_40_normal,10,data/libero_raw/libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,train,normal,demo_40,11257,True,135,300,0.45,26.30852190684527,12.53490400314331
best,S_10_40_camera,10,data/libero_raw/libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,train,camera,demo_40,11257,False,300,300,1.0,50.064651019871235,12.53490400314331
best,S_10_40_lighting,10,data/libero_raw/libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,train,lighting,demo_40,11257,True,140,300,0.4666666666666667,27.268476095981896,12.53490400314331
best,S_10_40_combined,10,data/libero_raw/libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,train,combined,demo_40,11257,False,300,300,1.0,50.662034157663584,12.53490400314331
best,S_11_30_normal,11,data/libero_raw/libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,train,normal,demo_30,12247,True,110,300,0.36666666666666664,25.22331568133086,12.53492784500122
best,S_11_30_camera,11,data/libero_raw/libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,train,camera,demo_30,12247,True,105,300,0.35,24.613538687117398,12.534923076629639
best,S_11_30_lighting,11,data/libero_raw/libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,train,lighting,demo_30,12247,True,120,300,0.4,26.805497340857983,12.534932613372803
best,S_11_30_combined,11,data/libero_raw/libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,train,combined,demo_30,12247,True,105,300,0.35,24.31789715308696,12.534923076629639
best,S_11_40_normal,11,data/libero_raw/libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,train,normal,demo_40,12257,True,115,300,0.38333333333333336,25.916341136209667,12.534932613372803
best,S_11_40_camera,11,data/libero_raw/libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,train,camera,demo_40,12257,True,115,300,0.38333333333333336,25.809335119090974,12.534932613372803
best,S_11_40_lighting,11,data/libero_raw/libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,train,lighting,demo_40,12257,True,115,300,0.38333333333333336,26.096539973281324,12.534932613372803
best,S_11_40_combined,11,data/libero_raw/libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,train,combined,demo_40,12257,True,110,300,0.36666666666666664,25.044610935263336,12.53492784500122
